time,theta,phi,psi,delta
320.010000000002,6.75594854354858,-25.3488578796387,-68.4215393066406,371.039672851562
320.092000000004,6.83979082107544,-26.2592830657959,-63.7908172607422,361.201019287109
320.129000000001,6.87537288665771,-24.7457599639893,-60.3955726623535,351.961395263672
320.181000000004,6.84406852722168,-25.1370735168457,-58.5459632873535,342.319519042969
320.209999999999,6.79748058319092,-25.5065059661865,-55.867561340332,338.107757568359
320.249000000003,6.84045696258545,-25.8322696685791,-53.1258506774902,330.271484375
320.304000000004,7.00912046432495,-26.1326580047607,-51.0892448425293,322.716552734375
320.328999999998,7.08148813247681,-26.4054298400879,-48.1505889892578,317.609924316406
320.368999999999,7.24573802947998,-26.6720142364502,-45.5634880065918,309.092987060547
320.419000000002,7.40314388275146,-27.8969841003418,-43.474494934082,302.290191650391
320.448000000004,7.4863338470459,-28.1218891143799,-41.2477264404297,297.116302490234
320.487000000001,7.5460844039917,-28.3597526550293,-37.7002906799316,291.143249511719
320.540000000001,7.76469850540161,-28.5771484375,-35.6062965393066,280.796722412109
320.567000000003,7.76248979568481,-28.7576999664307,-31.2408485412598,276.076507568359
320.608,7.97148036956787,-28.9036254882812,-28.5957851409912,262.879913330078
320.688000000002,8.36581611633301,-29.1783294677734,-24.9819030761719,254.313446044922
320.726999999999,8.5365047454834,-30.2633419036865,-22.1807117462158,247.362991333008
320.779000000002,8.84537601470947,-30.3573608398438,-21.5999221801758,239.698989868164
320.807000000001,9.04177856445312,-30.4140338897705,-18.4995059967041,239.69660949707
320.847000000002,9.3242244720459,-30.461404800415,-16.2180080413818,229.976333618164
320.897000000004,9.64666843414307,-30.4912719726562,-14.8045330047607,224.405456542969
320.927000000003,9.89506912231445,-29.5413570404053,-13.1742782592773,221.288360595703
320.966,10.1237945556641,-29.4896793365479,-10.053150177002,216.812103271484
321.017,10.4292192459106,-29.4182395935059,-7.91586399078369,207.482086181641
321.044999999998,10.736346244812,-29.3084678649902,-5.48268032073975,202.295715332031
321.087,11.0180406570435,-29.1821880340576,-2.11051940917969,195.572128295898
321.135999999999,11.3750734329224,-29.0456161499023,-1.33985042572021,185.862564086914
321.166000000005,11.641095161438,-28.8562965393066,1.51120316982269,185.40998840332
321.255000000005,12.2509984970093,-29.364574432373,3.76619076728821,175.258605957031
321.288,12.5550622940063,-29.1078853607178,5.48394727706909,171.720001220703
321.376000000004,13.2187938690186,-28.49098777771,9.80947303771973,161.453582763672
321.404000000002,13.5389633178711,-28.2097625732422,11.4564809799194,155.024185180664
321.444000000003,13.8650321960449,-27.7210311889648,12.494457244873,151.023544311523
321.498,14.2296905517578,-27.2998447418213,14.5849895477295,148.651428222656
321.523999999998,14.5995941162109,-27.8209667205811,17.1167774200439,142.406448364258
321.563000000002,14.9280395507812,-27.345308303833,18.3726596832275,135.388168334961
321.614999999998,15.2039127349854,-26.8401317596436,18.7765445709229,132.824371337891
321.643000000004,15.4771862030029,-26.3243083953857,19.516773223877,132.355560302734
321.686999999998,15.8719234466553,-25.8171310424805,21.2568054199219,130.246490478516
321.766000000003,16.6272010803223,-22.8994026184082,24.9767932891846,117.770454406738
321.803,16.9177227020264,-22.4176616668701,26.6598300933838,114.678047180176
321.853000000003,17.212438583374,-21.9375801086426,26.8568515777588,109.751304626465
321.881999999998,17.5012054443359,-21.4582366943359,28.420618057251,110.021270751953
321.921000000002,17.8005142211914,-20.9942169189453,29.5158195495605,104.888694763184
321.972000000002,18.0843849182129,-20.5383434295654,31.18918800354,102.100578308105
322.001000000004,18.405481338501,-20.0942230224609,32.1577453613281,97.1184463500977
322.040000000001,18.635160446167,-19.648853302002,31.8514747619629,94.8368301391602
322.092000000004,18.9074192047119,-19.2113990783691,33.1710243225098,96.4206085205078
322.120000000003,19.1474933624268,-18.7728843688965,33.5534362792969,91.8498306274414
322.159,19.3703384399414,-18.3443660736084,34.5191383361816,91.3214721679688
322.211000000003,19.4642848968506,-17.9281368255615,33.782901763916,88.3085098266602
322.239000000001,19.7660789489746,-17.5327548980713,35.4229736328125,91.2878570556641
322.279999999999,19.8685703277588,-17.1439323425293,34.3248558044434,85.3868179321289
322.328999999998,20.1043128967285,-16.7492809295654,34.8954391479492,89.954345703125
322.359000000004,20.4524726867676,-16.364278793335,37.4463157653809,87.4158477783203
322.398999999998,20.4524726867676,-15.9940938949585,37.4463157653809,79.2109680175781
322.448000000004,20.7491016387939,-15.6247444152832,36.1658744812012,80.5948791503906
322.478000000003,20.7491016387939,-15.2299146652222,36.1658744812012,84.886589050293
322.518000000004,20.9590015411377,-16.753870010376,35.7993354797363,84.1095199584961
322.569000000003,21.1131191253662,-16.3400974273682,36.2826194763184,85.5773620605469
322.597999999998,21.1576862335205,-15.9007863998413,35.4877471923828,83.8791427612305
322.637000000002,21.4825477600098,-15.5607900619507,34.2585868835449,86.864501953125
322.688000000002,21.5996856689453,-14.9590911865234,35.3638801574707,90.6265716552734
322.717000000004,21.6948165893555,-14.4676284790039,34.7048149108887,86.2425155639648
322.758999999998,21.7753753662109,-13.9922399520874,34.8361701965332,89.0356140136719
322.811000000002,21.8932056427002,-13.5030279159546,34.3223686218262,88.1596832275391
322.836000000003,22.070592880249,-14.9549179077148,33.3077278137207,89.8671569824219
322.876000000004,22.2190914154053,-14.5001983642578,35.4182281494141,93.1816101074219
322.928,22.5344772338867,-14.0451679229736,36.3642768859863,85.6325378417969
322.957999999999,22.5295867919922,-13.5636186599731,36.4044342041016,83.7355346679688
322.995000000003,22.7910747528076,-13.0988101959229,34.7475891113281,84.1287689208984
323.076999999997,23.3272571563721,-12.2191133499146,37.0431861877441,84.166015625
323.116000000002,23.5380382537842,-11.7897710800171,36.7155990600586,81.8864440917969
323.164000000004,23.4755573272705,-11.3766775131226,33.972526550293,83.5092849731445
323.196000000004,23.7315673828125,-10.9612894058228,33.8438186645508,92.4483871459961
323.235000000001,23.9568691253662,-10.5323429107666,33.9872970581055,91.3124465942383
323.285000000003,24.0413303375244,-10.105073928833,33.4171142578125,90.7270736694336
323.315000000002,24.1815509796143,-9.67756175994873,33.7468490600586,92.6495132446289
323.355000000003,24.487512588501,-9.21731662750244,35.1886749267578,91.1511077880859
323.410000000003,24.6327590942383,-8.72759914398193,34.8297958374023,86.4625930786133
323.434000000001,24.8475112915039,-8.23070621490479,34.1680946350098,88.3990478515625
323.472999999998,25.0935897827148,-7.75260305404663,35.6687927246094,90.3471832275391
323.523999999998,25.4032287597656,-7.26860904693604,36.5527191162109,84.8908462524414
323.553,25.6046848297119,-6.77621698379517,37.0869522094727,82.7333221435547
323.597000000002,25.6787376403809,-6.28984594345093,33.7665557861328,81.3868103027344
323.644,25.7271785736084,-5.81344032287598,31.5311012268066,92.7175903320312
323.686000000002,26.0791034698486,-5.3427586555481,33.4297904968262,98.2240219116211
323.715000000004,26.459415435791,-4.85747671127319,34.2453651428223,90.5456390380859
323.764000000003,26.6001682281494,-4.36366128921509,33.6556739807129,88.8474960327148
323.800000000003,26.7768650054932,-3.86872506141663,33.4383316040039,91.2126083374023
323.832000000002,26.7882518768311,-1.46192348003387,32.2895889282227,91.5348358154297
323.883999999998,27.0337619781494,-0.962660551071167,32.8515968322754,94.7915802001953
323.913,27.2544612884521,-0.453797787427902,31.8040657043457,91.9456634521484
323.951000000001,27.3745250701904,0.051837719976902,30.3564853668213,95.492546081543
324.004000000001,27.7326030731201,0.541367650032043,33.3265495300293,99.4862518310547
324.031000000003,27.9374313354492,0.997945308685303,32.2291488647461,88.5400848388672
324.07,28.172290802002,1.4541882276535,32.205623626709,93.7057495117188
324.123,28.3698043823242,1.90241944789886,31.1293106079102,93.0292434692383
324.150000000001,28.6948337554932,3.31240272521973,30.4112701416016,96.49072265625
324.192999999999,28.8063468933105,3.77338933944702,30.2837505340576,28.5202484130859
324.243000000002,29.0265121459961,4.21123170852661,29.7868213653564,-15.7680196762085
324.269,29.2579689025879,4.62363529205322,29.5856895446777,-49.7113037109375
324.309000000001,29.4107055664062,5.02054786682129,28.1338272094727,-77.8247756958008
324.360000000001,29.723726272583,5.403000831604,30.1574268341064,-95.9551162719727
324.389000000003,29.9799575805664,5.7962794303894,28.6866779327393,-121.929786682129
324.428,30.2419681549072,7.13616466522217,29.5256786346436,-130.653747558594
324.480000000003,30.3757820129395,7.51724815368652,28.3255882263184,-146.395065307617
324.508000000002,30.5927963256836,7.91473770141602,27.885929107666,-151.626983642578
324.548000000003,30.7839641571045,8.34151172637939,26.4425926208496,-158.676895141602
324.601999999999,31.1223335266113,8.8030891418457,27.4476909637451,-160.447998046875
324.629000000001,31.3986358642578,9.29404354095459,26.802116394043,-169.799896240234
324.667000000001,31.5935859680176,9.8018684387207,27.6827297210693,-171.308197021484
324.720000000001,31.766471862793,10.317253112793,27.642219543457,-178.098083496094
324.75,31.9507617950439,10.855206489563,27.1259746551514,-180.345428466797
324.788,32.2220039367676,11.39781665802,25.5748443603516,-181.034332275391
324.838000000003,32.4906806945801,11.9692716598511,26.8015899658203,-178.138259887695
324.906999999999,32.991886138916,13.1011905670166,27.3067722320557,-189.799865722656
324.959000000003,33.0970878601074,13.6503448486328,25.9738941192627,-187.876831054688
324.987000000001,33.3484382629395,14.2047243118286,26.2892951965332,-184.936935424805
325.025999999998,33.6550903320312,14.746467590332,24.8037605285645,-187.721145629883
325.076000000001,33.9419288635254,15.2939548492432,25.6979198455811,-183.444030761719
325.105000000003,34.1802978515625,15.8312721252441,24.8895645141602,-188.063201904297
325.195,34.6306610107422,16.8418598175049,24.2075901031494,-187.841857910156
325.224000000002,34.8189392089844,17.3681945800781,22.7519721984863,-184.824066162109
325.264999999999,35.1391983032227,17.8816337585449,22.9485378265381,-181.093185424805
325.315000000002,35.4479789733887,18.3513450622559,22.6638088226318,-183.105209350586
325.344000000005,35.6922035217285,18.7793121337891,21.6786270141602,-182.545761108398
325.383000000002,35.8770904541016,19.2083778381348,19.694465637207,-179.872512817383
325.436999999998,36.0499382019043,19.6285495758057,17.5205516815186,-174.216278076172
325.463000000003,36.383544921875,20.0422878265381,17.4422435760498,-168.458679199219
325.506000000001,36.6163902282715,20.4470043182373,15.8312854766846,-169.806716918945
325.554000000004,36.9544715881348,20.8247756958008,14.7287921905518,-164.830062866211
325.582999999999,37.2288818359375,21.1233310699463,13.6523876190186,-162.390777587891
