,result,table,_time,3FS_azimuth_Manual,CTRL_sta_command_Manual,3FS_z_voltage_Manual,3FS_x_voltage_Manual,CTRL_sta_equivalent_lacet_Manual,3FS_total_force_Manual,CTRL_sta_setpoint_elevation_Manual,CTRL_border_choquer_Manual,CTRL_zen_command_Manual,3FS_elevation_Manual,KITE_azimuth_b_Manual,CTRL_dyn_Gamma_Manual,3FS_y_force_Manual,KITE_azimuth_dot_wr_Manual,KITE_azimuth_h_Manual,CTRL_dyn_GammaRef_Manual,KITE_azimuth_mg_Manual,KITE_azimuth_wr_Manual,CTRL_dyn_command_Manual,3FS_y_voltage_Manual,KITE_elevation_b_Manual,3FS_x_force_Manual,KITE_elevation_dot_wr_Manual,CTRL_left_diff_Manual,KITE_elevation_wr_Manual,KITE_lacet_wr_Manual,CTRL_man_command_Manual,3FS_z_force_Manual,CTRL_right_diff_Manual
,,0,2023-06-07T10:30:21.516Z,-0.19920343160629272,350.6048278808594,1.2620844841003418,1.6935100555419922,-34,273,50,70,200,0.44349533319473267,-11.4135160446167,-1.779547929763794,-48,-8.52449893951416,-11.43301010131836,-2.369339942932129,0,-3.986532211303711,-13.661791801452637,1.5272176265716553,25.410411834716797,88,-14.01569938659668,72,19.316659927368164,-101.96058654785156,144.35028076171875,-253,-216
,,0,2023-06-07T10:30:21.545Z,-0.20471899211406708,332.6343078613281,1.2633707523345947,1.6943001747131348,-34,271,50,70,200,0.43479016423225403,-11.729534149169922,-1.7196462154388428,-50,-17.88823890686035,-11.749414443969727,-2.2324328422546387,0,-5.263885974884033,-11.748209953308105,1.5265729427337646,24.91164207458496,89,-13.301764488220215,68,18.827425003051758,-98.52847290039062,136.440673828125,-251,-204
,,0,2023-06-07T10:30:21.583Z,-0.21035358309745789,314.51873779296875,1.265006422996521,1.6949692964553833,-34,269,50,70,200,0.42597681283950806,-12.052372932434082,-1.6592609882354736,-51,-13.961325645446777,-12.072497367858887,-2.0879690647125244,0,-5.586724281311035,-10.217229843139648,1.5259819030761719,24.406673431396484,91,-11.408089637756348,69,18.484722137451172,-95.06864929199219,138.41807556152344,-248,-207
,,0,2023-06-07T10:30:21.591Z,-0.21035358309745789,314.51873779296875,1.265006422996521,1.6949692964553833,-34,269,50,70,200,0.42597681283950806,-12.052372932434082,-1.6592609882354736,-51,-13.961325645446777,-12.072497367858887,-2.0879690647125244,0,-5.586724281311035,-10.217229843139648,1.5259819030761719,24.406673431396484,91,-11.408089637756348,69,18.484722137451172,-95.06864929199219,138.41807556152344,-248,-207
,,0,2023-06-07T10:30:21.635Z,-0.21598638594150543,303.6712951660156,1.2668780088424683,1.6955182552337646,-34,267,50,70,200,0.4172845482826233,-12.37510871887207,-1.6231029033660889,-52,-11.604154586791992,-12.395699501037598,-1.9372620582580566,0,-5.909460067749023,-8.532121658325195,1.525448203086853,23.90864372253418,92,-11.963977813720703,68,17.972808837890625,-92.9969482421875,136.440673828125,-245,-204
,,0,2023-06-07T10:30:21.666Z,-0.22199401259422302,295.9966125488281,1.269132137298584,1.6959519386291504,-34,263,50,70,200,0.40826669335365295,-12.719320297241211,-1.5975205898284912,-53,-10.404608726501465,-12.741377830505371,-1.7814993858337402,0,-6.253671646118164,-6.225908279418945,1.5249478816986084,23.391958236694336,93,-10.155086517333984,68,17.675140380859375,-91.53118896484375,136.440673828125,-241,-204
,,0,2023-06-07T10:30:21.692Z,-0.22199401259422302,,1.269132137298584,1.6959519386291504,,263,,,,0.40826669335365295,,,-53,,,,,,,1.5249478816986084,,93,,,,,,-241,
,,0,2023-06-07T10:30:21.693Z,,295.9966125488281,,,-34,,50,70,200,,-12.719320297241211,-1.5975205898284912,,-10.404608726501465,-12.741377830505371,-1.7814993858337402,0,-6.253671646118164,-6.225908279418945,,23.391958236694336,,-10.155086517333984,68,17.675140380859375,-91.53118896484375,136.440673828125,,-204
,,0,2023-06-07T10:30:21.702Z,-0.2282216101884842,279.9169006347656,1.2716617584228516,1.6962932348251343,-34,260,50,70,200,0.3989320993423462,-13.076135635375977,-1.5439215898513794,-54,-9.81091594696045,-13.098634719848633,-1.6217862367630005,0,-6.61048698425293,-3.614485740661621,1.5244919061660767,22.857126235961914,93,-8.947216987609863,68,17.38972282409668,-88.46018981933594,136.440673828125,-236,-204
,,0,2023-06-07T10:30:21.753Z,-0.2347293347120285,267.4116516113281,1.2744215726852417,1.6965411901474,-34,255,50,70,200,0.3893272578716278,-13.449000358581543,-1.502237319946289,-55,-9.615201950073242,-13.472818374633789,-1.4591494798660278,0,-6.983352184295654,-1.5042357444763184,1.5240674018859863,22.306808471679688,94,-8.488958358764648,68,17.077659606933594,-86.07186126708984,136.440673828125,-231,-204
